1280 800
4 1400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
679 85 45 37 0
89 59 4 24 2
131 71 8 28 0
94 26 9 25 3
34 97 40 31 3
683 93 35 42 0
596 66 20 42 3
987 83 34 20 3
436 74 27 34 2
822 35 0 10 3
1017 98 27 34 2
50 81 47 26 3
1063 95 34 49 1
749 9 40 19 3
449 2 39 22 2
1263 81 47 22 3
1200 71 32 34 1
1068 34 17 42 2
366 51 0 41 1
1084 99 33 43 1
771 74 43 19 1
223 82 17 32 2
1070 9 24 43 2
740 7 43 14 1
212 53 25 18 2
926 77 9 12 1
1079 27 44 15 0
638 92 35 23 0
146 87 17 16 0
103 41 23 35 2
238 9 31 28 3
647 11 14 12 2
74 16 14 26 0
1073 79 13 27 0
787 65 28 37 1
707 77 26 22 0
1191 55 19 24 0
848 13 36 43 3
407 5 2 25 0
255 11 18 42 0
760 67 23 22 0
1072 96 17 22 0
98 69 21 40 1
612 69 2 24 2
1154 33 36 20 2
1183 46 6 12 3
18 37 8 23 2
239 5 44 37 0
891 34 31 48 2
548 79 44 22 1
698 64 44 36 3
241 86 19 36 0
744 46 11 30 1
720 68 45 30 3
929 83 47 40 1
1128 71 23 17 0
234 26 14 12 0
712 13 12 41 3
658 22 29 46 1
1033 93 19 27 3
971 51 31 12 3
1244 45 20 39 1
870 13 32 19 1
413 17 12 11 0
932 10 5 48 2
110 79 26 31 3
1181 36 6 21 3
435 21 14 49 2
46 79 26 26 2
252 43 16 42 1
1164 28 3 14 2
891 38 34 25 1
367 25 49 44 2
468 17 0 33 2
254 62 20 37 1
854 20 3 12 0
894 59 14 32 0
367 30 26 11 2
708 47 19 36 0
220 19 21 21 3
1115 51 29 19 0
59 27 23 42 0
1074 83 27 48 2
247 30 48 41 2
1158 92 42 20 3
483 59 33 48 0
272 45 8 31 0
0 12 21 19 0
26 5 45 10 2
657 79 47 40 1
735 39 38 27 3
726 69 27 37 1
778 11 45 17 2
102 35 2 49 3
591 28 43 32 2
996 97 34 34 3
1007 11 38 36 2
126 3 27 34 3
857 30 27 14 2
135 99 32 49 2
597 67 0 29 2
543 65 35 38 0
774 80 25 24 0
678 58 9 17 0
772 14 39 35 0
19 19 20 49 1
932 18 36 49 1
1197 14 44 20 2
573 55 40 25 0
907 77 8 10 3
821 45 3 43 2
686 52 1 11 2
1179 71 26 17 3
755 38 10 38 3
603 50 37 47 1
539 89 32 15 2
944 74 9 37 2
74 70 45 22 1
1252 90 1 24 3
1136 20 27 43 2
147 71 20 37 1
1243 88 33 19 2
392 72 11 46 2
167 15 19 38 0
86 66 48 10 2
536 80 39 25 2
1054 38 10 36 3
435 15 40 48 1
959 57 27 12 1
1154 66 39 33 2
239 30 26 13 1
568 25 31 30 3
718 55 26 22 3
1269 90 17 20 3
478 91 25 35 2
503 99 1 13 2
1221 28 43 23 2
750 81 8 45 3
226 46 22 15 2
1188 43 46 48 3
951 9 17 22 0
1039 7 2 16 2
1080 22 46 21 0
577 13 36 35 2
424 28 16 28 0
1172 73 1 15 0
445 95 18 45 2
966 46 29 31 2
546 40 30 28 3
406 84 31 10 1
165 7 42 39 3
707 89 35 28 0
677 68 26 44 1
673 93 5 44 1
204 42 48 49 2
987 70 14 23 1
992 23 30 23 1
288 63 36 30 3
511 14 46 14 0
557 38 3 35 1
434 77 9 12 1
316 24 18 28 2
274 71 25 17 2
376 65 21 16 2
1275 81 28 10 0
1279 8 25 26 0
274 13 7 14 1
793 10 38 42 3
1249 94 0 44 2
666 70 0 40 0
481 96 4 21 0
451 34 38 38 3
956 47 38 49 0
627 40 42 39 2
1069 73 6 47 2
1011 17 36 49 3
1232 8 20 16 1
