1280 800
4 400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
831 385 13 32 3
378 459 47 30 2
1187 360 44 47 0
545 300 38 30 0
400 78 6 29 0
606 338 46 15 3
1019 251 49 39 3
251 506 34 44 1
228 65 27 14 2
866 225 47 22 1
462 552 19 42 1
204 106 6 46 0
1020 499 21 24 2
400 386 9 18 1
349 149 4 23 0
598 278 18 11 0
919 233 0 11 0
819 572 23 17 2
271 123 11 33 3
79 200 34 39 1
1102 304 24 37 0
221 471 8 16 2
428 184 5 32 1
397 363 38 40 2
1176 463 39 34 0
449 469 36 22 0
443 334 44 28 1
973 298 17 40 2
707 190 22 31 3
335 233 18 16 3
939 313 46 15 0
1174 8 1 25 1
445 208 14 35 0
741 315 20 12 2
354 71 29 29 2
585 70 23 24 0
1136 63 40 38 3
304 86 33 38 2
926 490 49 16 0
966 264 20 11 2
440 579 6 19 1
104 396 30 26 1
1135 378 46 38 3
875 367 20 35 3
314 361 23 34 1
298 385 34 16 0
135 250 23 31 0
209 225 7 12 0
536 213 14 12 1
913 533 21 44 3
790 161 30 21 2
35 359 8 11 2
78 174 12 29 0
1197 244 38 24 1
1065 408 13 13 1
626 459 10 25 3
287 463 18 21 2
770 252 46 40 0
1075 94 11 22 0
353 291 0 23 3
398 355 32 14 3
1028 500 10 18 3
584 225 49 19 0
451 47 24 30 2
776 476 8 44 2
1163 331 35 30 1
1118 260 29 23 3
352 492 5 10 3
867 472 33 15 3
947 154 35 30 1
656 544 13 29 0
183 382 4 30 0
507 282 9 46 1
375 84 6 19 0
350 537 44 42 0
517 588 1 10 3
121 469 30 28 3
905 217 26 26 0
182 534 44 36 3
346 122 44 30 1
127 47 33 33 0
1113 347 24 37 0
893 586 8 25 3
219 6 8 16 3
467 254 45 32 2
981 240 20 45 2
124 245 42 25 3
725 292 48 16 1
774 58 19 28 3
854 447 25 20 1
1046 166 43 11 2
711 431 44 30 0
162 347 1 20 3
684 185 28 22 2
393 261 48 47 1
1033 218 1 45 1
652 563 35 45 1
1146 514 44 48 2
927 557 30 40 3
574 248 25 12 2
109 344 31 13 1
128 341 15 16 0
659 119 45 42 2
140 180 43 22 2
1054 65 44 37 0
958 389 7 32 3
338 508 3 25 1
428 12 41 45 1
557 559 31 39 2
1085 516 39 45 2
188 411 29 26 0
1011 430 45 19 3
123 110 33 23 2
7 185 38 23 1
170 169 37 15 1
779 401 10 17 3
584 334 14 22 2
493 535 49 44 2
983 77 41 13 2
900 441 49 33 3
117 599 23 31 3
235 371 33 41 3
1191 113 13 14 0
520 132 38 12 1
478 376 40 23 3
91 321 16 39 3
951 27 25 14 0
1123 69 19 35 1
720 551 44 44 0
178 242 3 36 2
753 356 29 19 1
993 414 27 49 0
1138 304 43 10 0
968 183 8 17 1
10 186 17 36 1
282 540 31 25 2
880 546 48 37 0
248 516 33 36 1
1159 330 16 44 2
183 533 21 35 2
77 553 2 31 3
705 308 26 20 3
13 503 4 29 1
799 451 16 10 2
89 245 47 17 2
34 384 20 24 0
432 163 31 11 3
152 109 47 25 2
465 293 15 40 1
89 564 23 38 3
632 405 48 22 0
529 451 31 23 3
447 375 11 22 1
212 352 7 12 0
452 422 20 40 0
860 446 43 25 3
4 246 21 24 1
605 386 14 38 0
1156 391 41 25 1
375 528 35 34 0
980 40 18 31 0
122 496 11 17 3
1157 105 23 35 1
863 126 29 49 2
933 532 28 12 1
235 420 8 38 3
519 200 7 28 3
1125 216 1 42 2
555 279 8 27 1
108 344 8 17 1
1164 435 13 30 2
935 178 44 25 3
517 144 23 24 2
258 561 38 27 2
1158 406 32 27 3
649 280 36 16 3
335 151 48 38 2
770 200 3 17 2
397 207 41 29 0
439 286 23 25 0
735 195 43 45 1
666 269 28 10 3
537 390 7 16 0
481 285 9 46 2
105 589 37 15 1
677 261 28 38 3
1029 438 32 21 3
173 302 24 18 1
12 67 35 37 0
335 372 2 42 0
522 52 17 48 0
689 527 10 19 1
628 507 11 47 3
961 402 42 13 0
551 18 21 45 1
361 145 9 45 0
916 379 34 30 3
800 307 46 25 0
508 141 7 36 2
1002 98 13 48 1
85 283 37 11 3
726 398 35 34 1
994 463 25 28 2
767 579 47 45 1
270 400 40 45 3
372 51 41 17 2
448 438 8 21 1
33 566 15 11 0
145 484 49 32 3
289 13 6 34 3
78 205 10 12 2
799 4 45 29 2
557 384 23 46 2
623 256 45 45 2
282 151 19 47 2
1037 268 41 32 1
1160 414 24 29 1
962 385 7 15 2
585 240 21 22 1
562 278 31 36 1
858 118 13 23 3
133 138 25 35 0
6 436 10 45 2
935 589 32 41 2
805 107 25 14 2
122 381 29 32 1
1062 90 42 39 2
1098 238 15 30 0
469 499 45 34 0
1040 80 0 35 3
467 443 28 32 2
689 114 21 26 2
839 190 0 43 0
995 101 0 45 1
940 376 40 27 1
698 517 38 30 0
193 470 42 33 0
617 66 38 39 3
553 449 17 46 3
564 400 14 18 2
401 140 0 21 1
395 99 22 36 2
1067 66 30 29 0
1031 547 6 39 0
76 48 28 18 0
55 36 36 11 0
984 511 5 25 0
773 424 45 10 2
1090 11 17 34 2
502 137 25 13 0
902 161 6 33 1
1058 399 11 20 3
682 174 21 38 1
764 526 47 38 3
764 12 45 11 3
611 483 7 40 2
64 430 35 26 2
762 219 26 35 1
985 536 39 17 3
342 251 48 11 3
47 26 12 21 0
183 464 44 29 0
778 133 22 35 3
908 475 41 31 0
328 117 49 25 3
215 12 29 39 2
641 555 41 37 0
352 453 13 31 0
62 501 36 47 1
602 225 26 16 1
722 227 2 25 0
842 221 40 46 0
435 248 13 38 1
715 462 45 29 1
921 13 30 16 2
378 354 28 48 1
745 570 42 27 2
794 85 42 36 2
1079 500 0 36 0
631 104 37 27 1
421 431 18 27 2
1115 298 49 46 2
1183 40 30 37 3
33 69 21 47 2
553 388 17 43 0
283 562 34 28 2
222 542 40 27 1
1017 252 40 24 2
1144 288 12 46 1
819 135 36 35 1
847 540 5 10 3
1135 397 9 34 3
66 484 9 22 1
987 136 19 30 1
515 71 6 45 1
512 360 34 49 1
859 163 11 19 0
499 551 41 22 2
540 587 38 33 2
670 333 41 10 0
547 264 41 36 1
366 122 42 14 2
748 568 3 41 1
1128 433 47 49 3
480 146 33 45 0
257 234 17 15 1
242 547 19 16 1
